Naam,Ploeg,Prijs (M),#Koersen,OML,KBK,SAM,STRADE,NK,BKC,MSR,RVB,E3,GW,DDV,RVV,SCHELD,PR,RVL,BP,AG,WP,LBL,Totaal_Verwacht,Punten_per_Miljoen
Berckmoes Jenno,Lotto-Intermarché,4,10,17.5,5.5,0.0,12.0,0.0,0.0,24.1,0.0,17.2,28.4,15.8,15.4,0.0,0.0,0.0,14.6,12.4,0.0,0.0,162.9,40.72
De Lie Arnaud,Lotto-Intermarché,6,7,14.6,18.6,0.0,0.0,0.0,0.0,0.0,7.7,0.0,43.7,23.7,19.3,0.0,35.1,0.0,0.0,0.0,0.0,0.0,162.7,27.12
Abrahamsen Jonas,Uno-X Mobility,4,8,12.2,6.8,0.0,0.0,0.0,0.0,10.6,0.0,30.1,21.3,30.4,11.4,0.0,35.3,3.1,0.0,0.0,0.0,0.0,161.2,40.3
Healy Ben,EF Education - EasyPost,7,4,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,28.5,35.7,53.4,160.6,22.94
Teunissen Mike,XDS Astana Team,4,8,11.7,23.7,0.0,0.0,0.0,0.0,26.1,0.0,13.8,11.7,19.3,23.9,0.0,24.1,3.9,0.0,0.0,0.0,0.0,158.2,39.55
Del Grosso Tibor,Alpecin - Premier Tech,5,6,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,17.7,0.0,28.7,0.0,0.0,45.3,15.8,20.7,18.8,0.0,0.0,155.2,31.04
Pithie Laurence,Red Bull - BORA - hansgrohe,4,8,19.8,3.7,0.0,0.0,0.0,0.0,14.0,0.0,4.7,5.1,37.7,21.7,9.6,34.6,4.0,0.0,0.0,0.0,0.0,154.9,38.72
Evenepoel Remco,Red Bull - BORA - hansgrohe,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,53.9,37.4,26.8,153.3,12.78
Magnier Paul,Soudal Quick-Step,7,5,46.0,11.2,0.0,0.0,0.0,0.0,16.5,0.0,0.0,11.7,37.8,20.5,0.0,0.0,6.3,0.0,0.0,0.0,0.0,150.0,21.43
van Dijke Tim,Red Bull - BORA - hansgrohe,3,5,48.4,12.1,0.0,0.0,0.0,0.0,10.7,0.0,9.7,4.3,5.1,8.4,10.3,20.4,0.0,0.0,14.5,0.0,0.0,143.9,47.97
Girmay Biniam,NSN Cycling Team,5,4,8.0,6.4,0.0,0.0,0.0,0.0,15.3,0.0,9.9,24.2,38.3,11.4,0.0,28.0,0.0,0.0,0.0,0.0,0.0,141.5,28.3
De Schuyteneer Steffen,Lotto-Intermarché,3,5,0.0,10.2,16.7,0.0,23.2,26.8,0.0,11.5,0.0,7.7,8.4,0.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,135.1,45.03
Kopecký Matyáš,Unibet Rose Rockets,2,5,22.2,13.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,13.1,18.8,19.9,0.0,21.0,15.7,0.0,0.0,0.0,0.0,134.8,67.4
Ackermann Pascal,Team Jayco AlUla,4,1,0.0,5.3,0.0,0.0,24.3,41.3,0.0,0.0,0.0,17.8,0.0,0.0,38.4,0.0,5.3,0.0,0.0,0.0,0.0,132.4,33.1
Matthews Michael,Team Jayco AlUla,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,32.3,25.3,40.6,0.0,0.0,130.8,21.8
Aranburu Alex,Cofidis,4,4,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,0.0,17.7,14.4,29.4,127.5,31.88
Renard Alexis,Cofidis,3,7,25.8,4.6,4.6,0.0,14.3,18.4,0.0,22.6,0.0,5.6,5.0,9.2,0.0,17.2,0.0,0.0,0.0,0.0,0.0,127.3,42.43
Biermans Jenthe,Cofidis,3,3,7.9,0.0,39.7,0.0,27.7,0.0,0.0,21.5,0.0,0.0,0.0,26.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,126.7,42.23
van den Berg Marijn,EF Education - EasyPost,4,9,12.3,11.4,0.0,0.0,0.0,0.0,9.3,12.3,11.2,11.2,15.6,9.3,0.0,14.0,0.0,0.0,16.5,0.0,0.0,123.1,30.78
Barrenetxea Jon,Movistar Team,3,4,6.7,14.2,0.0,0.0,0.0,0.0,13.5,0.0,10.8,5.8,21.9,17.7,0.0,17.9,12.9,0.0,0.0,0.0,0.0,121.4,40.47
Lapeira Paul,Decathlon CMA CGM Team,4,5,0.0,0.0,0.0,17.8,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,26.9,14.5,24.9,119.5,29.88
Politt Nils,UAE Team Emirates - XRG,4,2,20.9,2.8,0.0,0.0,0.0,3.4,0.0,0.0,13.4,8.8,7.3,22.3,0.0,37.4,2.7,0.0,0.0,0.0,0.0,119.0,29.75
Hermans Quinten,Pinarello - Q36.5 Pro Cycling,4,6,0.0,0.0,0.0,14.9,0.0,0.0,8.8,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,17.9,14.1,14.8,9.6,118.6,29.65
Van Gils Maxim,Red Bull - BORA - hansgrohe,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,14.5,19.9,37.7,116.9,19.48
Jorgenson Matteo,Team Visma | Lease a Bike,6,5,0.0,0.0,0.0,35.9,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,22.1,27.7,116.7,19.45
Cosnefroy Benoît,UAE Team Emirates - XRG,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,15.1,0.0,0.0,0.0,33.6,14.0,27.0,17.5,112.4,22.48
Mihkels Madis,EF Education - EasyPost,4,6,0.0,0.0,0.0,0.0,0.0,0.0,5.9,32.5,7.7,14.5,8.1,15.2,0.0,28.4,0.0,0.0,0.0,0.0,0.0,112.3,28.08
Wellens Tim,UAE Team Emirates - XRG,6,4,9.9,21.1,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,28.7,20.0,0.0,0.0,112.1,18.68
Hagenes Per Strand,Team Visma | Lease a Bike,3,2,6.9,0.0,4.0,0.0,0.0,0.0,0.0,0.0,58.2,0.0,4.6,8.1,0.0,28.7,0.0,0.0,0.0,0.0,0.0,110.5,36.83
De Gendt Aimé,Pinarello - Q36.5 Pro Cycling,3,3,24.9,2.4,0.0,0.0,3.9,7.9,0.0,0.0,13.9,22.3,3.2,9.0,5.3,13.5,2.2,0.0,0.0,0.0,0.0,108.5,36.17
Milan Jonathan,Lidl - Trek,7,5,0.0,17.6,0.0,0.0,0.0,0.0,9.3,0.0,0.0,29.9,30.4,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,108.5,15.5
Dewulf Stan,Decathlon CMA CGM Team,3,2,3.1,2.5,0.0,0.0,0.0,0.0,0.0,11.3,40.6,0.0,4.5,14.7,0.0,17.5,2.4,0.0,11.8,0.0,0.0,108.4,36.13
Ciccone Giulio,Lidl - Trek,5,3,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,15.6,15.6,63.7,107.7,21.54
Mohorič Matej,Bahrain - Victorious,5,9,5.4,3.9,0.0,13.2,0.0,0.0,19.6,0.0,6.2,6.8,9.4,11.8,0.0,19.7,1.4,0.0,9.8,0.0,0.0,107.2,21.44
Govekar Matevž,Bahrain - Victorious,3,2,0.0,28.6,25.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,18.1,6.0,18.1,3.1,0.0,0.0,0.0,0.0,103.7,34.57
Turgis Anthony,Team TotalEnergies,4,3,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,19.8,14.2,17.7,0.0,12.4,0.0,0.0,0.0,0.0,0.0,102.9,25.72
Fretin Milan,Cofidis,5,5,0.0,0.0,0.0,0.0,0.0,18.3,0.0,9.2,0.0,6.3,15.7,0.0,39.5,0.0,13.3,0.0,0.0,0.0,0.0,102.3,20.46
Menten Milan,Lotto-Intermarché,4,3,0.0,0.0,0.0,0.0,33.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,18.1,22.2,0.0,0.0,0.0,99.8,24.95
Seixas Paul,Decathlon CMA CGM Team,5,3,0.0,0.0,0.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,19.8,96.7,19.34
Morgado António,UAE Team Emirates - XRG,4,2,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,14.8,7.9,10.0,22.2,0.0,16.8,2.0,0.0,0.0,0.0,0.0,95.4,23.85
Valgren Michael,EF Education - EasyPost,3,6,0.0,0.0,0.0,22.7,0.0,0.0,4.6,0.0,18.7,3.3,8.6,8.5,0.0,10.8,1.4,6.9,9.8,0.0,0.0,95.3,31.77
Moschetti Matteo,Pinarello - Q36.5 Pro Cycling,4,1,0.0,7.6,0.0,0.0,18.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,93.8,23.45
