Naam,Ploeg,Prijs (M),#Koersen,OML,KBK,SAM,STRADE,NK,BKC,MSR,RVB,E3,GW,DDV,RVV,SCHELD,PR,RVL,BP,AG,WP,LBL,Totaal_Verwacht,Punten_per_Miljoen
Page Hugo,Cofidis,3,7,2.2,1.9,1.9,0.0,9.9,1.9,0.0,0.0,0.0,2.2,17.1,5.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,47.3,15.77
Blackmore Joseph,NSN Cycling Team,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,14.6,14.6,5.8,46.9,15.63
Rutsch Jonas,Lotto-Intermarché,3,1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.7,1.8,0.0,2.9,0.0,34.6,2.8,0.0,0.0,0.0,0.0,45.9,15.3
Cavia Daniel,Burgos Burpellet BH ,2,3,2.5,2.0,0.0,0.0,0.0,0.0,0.0,5.2,4.2,5.2,5.2,6.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,45.9,22.95
van Poppel Danny,Red Bull - BORA - hansgrohe,4,4,0.0,0.0,3.9,0.0,0.0,0.0,5.0,0.0,0.0,5.2,0.0,0.0,20.6,0.0,0.0,0.0,10.0,0.0,0.0,44.7,11.18
Biesterbos Frits,Team Picnic PostNL,2,4,0.0,1.6,13.6,0.0,1.6,5.6,0.0,0.0,2.0,2.0,0.0,0.0,3.8,8.6,0.0,0.0,5.2,0.0,0.0,44.0,22.0
Küng Stefan,Tudor Pro Cycling Team,5,1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.8
Hoelgaard Markus,Uno-X Mobility,3,2,3.6,0.0,0.0,6.3,0.0,0.0,0.0,0.0,3.4,8.7,0.0,16.9,0.0,0.0,4.9,0.0,0.0,0.0,0.0,43.8,14.6
Van Moer Brent,Pinarello - Q36.5 Pro Cycling,3,5,14.0,1.5,0.0,1.8,2.8,1.9,2.3,0.0,4.6,1.3,5.4,2.8,1.4,2.5,0.0,0.0,0.0,0.0,0.0,42.3,14.1
Barré Louis,Team Visma | Lease a Bike,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,6.7,8.2,41.1,10.28
Van Asbroeck Tom,NSN Cycling Team,3,3,1.7,0.0,12.5,0.0,0.0,1.6,0.0,0.0,2.3,1.8,9.7,6.8,0.0,3.1,0.8,0.0,0.0,0.0,0.0,40.3,13.43
Dujardin Sandy,Team TotalEnergies,3,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.9,12.2,6.3,0.0,4.3,0.0,2.7,3.7,0.0,0.0,40.2,13.4
Labrosse Jordan,Decathlon CMA CGM Team,3,5,0.0,0.0,0.0,19.3,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,4.2,5.2,40.1,13.37
Sheehan Riley,NSN Cycling Team,3,6,3.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,3.4,10.1,0.0,8.2,8.1,0.0,0.0,0.0,0.0,40.0,13.33
Withen Philipsen Albert,Lidl - Trek,3,2,3.5,0.0,0.0,6.4,2.8,5.5,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,8.2,0.0,6.9,0.0,0.0,39.7,13.23
Covi Alessandro,Team Jayco AlUla,3,4,0.0,0.0,0.0,5.1,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,5.1,5.1,6.4,39.4,13.13
Welsford Sam,INEOS Grenadiers,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,5.7,3.1,6.9,0.0,4.9,1.6,0.0,0.0,0.0,0.0,37.7,9.43
Tarling Joshua,INEOS Grenadiers,4,0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,2.2,2.2,8.6,10.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0,37.4,9.35
Tiller Rasmus,Uno-X Mobility,4,2,3.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.3,0.0,10.2,0.0,10.4,1.8,0.0,0.0,0.0,0.0,37.0,9.25
Turner Ben,INEOS Grenadiers,4,1,2.8,0.0,0.0,0.0,0.0,0.0,3.5,4.2,3.6,5.5,6.6,0.9,0.0,8.4,0.0,0.0,1.2,0.0,0.0,36.7,9.18
Thijssen Gerben,Alpecin - Premier Tech,4,3,0.0,0.0,3.4,0.0,3.0,21.2,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,8.93
Romele Alessandro,XDS Astana Team,3,2,1.7,1.3,0.0,0.0,0.0,14.1,0.0,0.0,1.8,0.0,6.4,6.0,0.0,3.3,1.1,0.0,0.0,0.0,0.0,35.7,11.9
Kirsch Alex,Cofidis,3,8,5.5,7.0,0.0,0.0,0.0,0.0,2.1,2.9,0.0,2.1,4.2,5.2,0.0,6.5,0.0,0.0,0.0,0.0,0.0,35.5,11.83
Martin Guillaume,Groupama - FDJ United,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,13.3,35.0,8.75
Martínez Daniel Felipe,Red Bull - BORA - hansgrohe,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,30.5,34.9,8.72
Kogut Oded,NSN Cycling Team,3,1,0.0,0.0,1.6,0.0,0.0,5.0,0.0,3.1,0.0,0.0,0.0,0.0,24.1,0.0,0.9,0.0,0.0,0.0,0.0,34.7,11.57
van Dijke Mick,Red Bull - BORA - hansgrohe,3,5,5.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.5,5.5,3.3,1.4,13.7,0.0,0.0,0.0,0.0,0.0,34.0,11.33
Van Gestel Dries,Soudal Quick-Step,3,2,1.3,2.1,0.0,0.0,0.0,0.0,0.0,4.8,1.7,0.0,2.3,6.1,0.0,14.9,0.0,0.0,0.0,0.0,0.0,33.2,11.07
Haller Marco,Tudor Pro Cycling Team,3,3,1.6,1.4,0.0,0.0,0.0,0.0,2.0,0.0,1.9,1.6,0.0,2.4,0.0,20.9,1.3,0.0,0.0,0.0,0.0,33.1,11.03
McNulty Brandon,UAE Team Emirates - XRG,4,0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,32.6,8.15
Powless Neilson,EF Education - EasyPost,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,32.4,5.4
Tronchon Bastien,Groupama - FDJ United,3,7,2.6,3.5,0.0,0.0,2.1,0.0,8.0,0.0,2.6,2.7,2.6,2.1,0.0,5.6,0.0,0.0,0.0,0.0,0.0,31.8,10.6
Kolze Changizi Sebastian,Tudor Pro Cycling Team,2,3,0.0,0.0,0.0,0.0,10.8,1.3,0.0,2.8,0.0,5.2,5.2,0.0,1.2,0.0,5.2,0.0,0.0,0.0,0.0,31.7,15.85
Blikra Erlend,Uno-X Mobility,3,3,0.0,0.0,0.0,0.0,3.2,3.4,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,10.53
Scaroni Christian,XDS Astana Team,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.7,12.6,31.3,6.26
Vacek Mathias,Lidl - Trek,6,7,6.3,0.0,0.0,0.0,0.0,0.0,3.1,0.0,2.4,2.5,3.8,3.6,0.0,7.6,0.4,0.0,0.0,0.0,0.0,29.7,4.95
Tulett Ben,Team Visma | Lease a Bike,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,9.5,11.6,29.6,7.4
Krijnsen Jelte,Team Jayco AlUla,3,10,7.1,2.7,0.0,0.0,2.5,2.8,0.0,1.9,1.9,3.1,1.5,1.9,0.0,3.8,0.0,0.0,0.0,0.0,0.0,29.2,9.73
Tratnik Jan,Red Bull - BORA - hansgrohe,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.1,5.4,7.1,0.0,0.0,0.0,0.0,5.7,0.0,7.1,29.2,7.3
Pedersen Casper,Soudal Quick-Step,3,1,1.9,0.0,0.0,0.0,0.0,0.0,6.5,0.0,14.0,0.0,2.2,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,29.1,9.7
Artz Huub,Lotto-Intermarché,3,5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,1.9,12.4,3.7,0.0,5.0,0.0,3.2,0.0,0.0,0.0,28.5,9.5
Kielich Timo,Team Visma | Lease a Bike,3,8,2.1,1.4,0.0,2.1,0.0,0.0,2.6,0.0,2.0,2.2,3.8,9.6,0.0,2.1,0.4,0.0,0.0,0.0,0.0,28.3,9.43
Dainese Alberto,Soudal Quick-Step,4,2,0.0,0.0,0.0,0.0,15.3,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,7.02
Lampaert Yves,Soudal Quick-Step,3,6,2.0,1.1,0.0,0.0,1.0,3.1,0.0,1.5,0.0,1.0,4.0,4.1,2.5,6.5,0.4,0.0,0.0,0.0,0.0,27.2,9.07
Planckaert Edward,Alpecin - Premier Tech,3,3,1.6,1.9,0.0,3.6,1.7,0.0,2.1,0.0,7.7,0.0,2.1,4.2,0.0,2.3,0.0,0.0,0.0,0.0,0.0,27.2,9.07
Venturini Clément,Unibet Rose Rockets,3,6,0.0,0.0,0.0,6.9,1.6,0.0,3.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.6,4.6,0.0,27.1,9.03
Macías César,Burgos Burpellet BH ,2,3,2.4,0.8,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,2.9,3.6,8.9,0.0,0.0,2.3,0.0,0.0,0.0,26.7,13.35
Asgreen Kasper,EF Education - EasyPost,4,5,1.4,1.1,0.0,0.0,0.0,0.0,7.0,0.0,1.4,5.0,1.7,3.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,26.7,6.68
Teutenberg Tim Torn,Lidl - Trek,3,3,1.5,0.0,0.0,0.0,4.7,1.3,0.0,1.9,1.5,1.6,0.0,3.5,8.4,0.0,2.1,0.0,0.0,0.0,0.0,26.5,8.83
Van Boven Luca,Lotto-Intermarché,3,4,1.6,2.3,0.0,0.0,0.0,0.0,2.0,0.0,2.8,2.9,0.0,3.5,0.0,0.0,0.0,9.1,2.2,0.0,0.0,26.4,8.8
Gate Aaron,XDS Astana Team,2,3,2.9,2.3,0.0,0.0,2.3,0.0,0.0,3.6,0.5,2.8,3.0,4.4,0.0,4.4,0.0,0.0,0.0,0.0,0.0,26.2,13.1
Hoole Daan,Decathlon CMA CGM Team,3,6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.1,2.0,2.0,2.1,2.8,0.0,14.4,0.0,0.0,0.0,0.0,0.0,25.9,8.63
Champoussin Clément,XDS Astana Team,3,4,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,12.1,4.4,25.5,8.5
Beullens Cedric,Lotto-Intermarché,3,3,4.7,0.0,2.4,0.0,2.5,1.1,0.0,2.7,0.0,1.3,5.4,3.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,25.3,8.43
Larsen Niklas,Unibet Rose Rockets,3,2,2.5,2.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,2.5,3.9,3.7,6.5,0.0,0.0,0.0,0.0,0.0,23.9,7.97
van den Broek Frank,Team Picnic PostNL,3,6,2.7,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.1,0.0,3.2,2.0,0.0,0.0,1.4,0.0,3.1,2.9,3.7,23.7,7.9
Dupont Timothy,Tarteletto - Isorex,3,1,0.0,0.0,1.5,0.0,1.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,22.9,7.63
Delettre Alexandre,Team TotalEnergies,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,6.4,8.0,22.2,7.4
Kragh Andersen Søren,Lidl - Trek,4,5,1.4,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.2,1.5,1.5,3.5,0.0,2.3,9.0,0.0,0.0,0.0,0.0,22.2,5.55
Jakobsen Fabio,Team Picnic PostNL,4,5,0.0,0.0,2.8,0.0,9.9,0.9,0.0,2.3,3.4,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.5
Reinders Elmar,Unibet Rose Rockets,2,6,0.0,3.4,3.4,0.0,0.0,1.6,0.0,2.0,0.0,3.7,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,21.4,10.7
Walscheid Max,Lidl - Trek,3,1,0.0,0.6,0.0,0.0,0.7,0.7,0.0,1.0,0.7,0.0,1.0,3.6,7.6,4.9,0.3,0.0,0.0,0.0,0.0,21.1,7.03
Louvel Matis,NSN Cycling Team,3,4,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.7,1.2,3.4,0.0,4.8,0.7,0.0,0.0,0.0,0.0,20.8,6.93
Valter Attila,Bahrain - Victorious,4,4,1.5,0.0,0.0,3.9,0.0,0.0,0.0,2.9,1.4,0.0,0.0,2.7,0.0,0.0,0.0,2.3,5.3,0.0,0.0,20.0,5.0
Velasco Simone,XDS Astana Team,4,1,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.5,0.0,0.0,19.4,4.85
Oliveira Rui,UAE Team Emirates - XRG,3,6,2.2,2.6,0.0,0.0,0.9,0.9,0.0,2.2,2.2,1.0,0.0,2.8,0.0,4.1,0.3,0.0,0.0,0.0,0.0,19.2,6.4
Coquard Bryan,Cofidis,4,3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,19.0,4.75
Izagirre Ion,Cofidis,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,6.8,18.8,6.27
Schachmann Maximilian,Soudal Quick-Step,4,0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.9,2.5,3.6,3.4,18.4,4.6
Mollema Bauke,Lidl - Trek,3,2,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,18.2,6.07
Söderqvist Jakob,Lidl - Trek,3,2,0.0,1.4,0.0,0.0,0.4,0.0,0.0,2.5,1.0,1.9,2.6,1.3,0.0,6.9,0.0,0.0,0.0,0.0,0.0,18.0,6.0
Godon Dorian,INEOS Grenadiers,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,12.5,0.0,17.8,4.45
Stannard Robert,Bahrain - Victorious,3,2,1.2,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,1.7,0.0,0.0,0.0,0.0,17.6,5.87
Van Wilder Ilan,Soudal Quick-Step,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,9.2,4.6,17.5,4.38
Russo Clément,Groupama - FDJ United,3,2,1.3,1.0,0.0,0.0,0.0,0.0,1.6,0.0,1.3,6.8,1.6,2.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,17.5,5.83
Sunekær Norsgaard Mathias,Lidl - Trek,2,3,0.0,0.5,0.0,0.0,1.2,0.0,0.8,0.8,0.5,0.6,7.2,1.2,1.2,2.8,0.3,0.0,0.0,0.0,0.0,17.1,8.55
Van Mechelen Vlad,Bahrain - Victorious,3,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.3,1.6,1.3,0.0,0.0,2.6,3.3,0.0,0.0,16.1,5.37
Geens Jonas,Alpecin - Premier Tech,2,3,0.0,1.0,6.3,0.0,0.0,0.0,0.0,2.8,0.0,1.3,0.0,3.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0
Vadic Baptiste,Team TotalEnergies,2,3,1.1,1.8,0.9,0.0,4.2,0.9,0.0,0.0,2.3,0.0,1.8,0.0,1.4,0.0,0.0,1.4,0.0,0.0,0.0,15.8,7.9
Ulissi Diego,XDS Astana Team,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,1.8,4.2,5.2,15.8,5.27
Milesi Lorenzo,Movistar Team,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.1,0.4,1.6,1.7,2.8,0.0,2.7,0.0,0.0,2.2,0.0,0.0,15.4,5.13
van Baarle Dylan,Soudal Quick-Step,4,6,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,1.5,0.0,7.0,0.0,0.0,1.3,0.0,0.0,15.3,3.82
Sentjens Sente,Alpecin - Premier Tech,2,5,0.0,1.9,0.0,0.0,0.7,5.4,0.0,0.0,0.0,0.0,2.1,0.0,3.0,0.0,2.1,0.0,0.0,0.0,0.0,15.2,7.6
Vauquelin Kévin,INEOS Grenadiers,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,14.9,2.98
Mikutis Aivaras,Tudor Pro Cycling Team,2,3,1.8,1.5,0.0,0.0,0.6,2.1,0.0,1.1,1.8,1.5,1.8,0.0,0.7,1.3,0.0,0.0,0.0,0.0,0.0,14.2,7.1
Boivin Guillaume,NSN Cycling Team,2,3,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,6.7,1.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,14.1,7.05
Rickaert Jonas,Alpecin - Premier Tech,3,3,0.0,0.6,0.6,0.0,0.6,0.0,0.0,5.6,0.0,1.1,1.7,1.7,0.8,1.3,0.0,0.0,0.0,0.0,0.0,14.0,4.67
Baroncini Filippo,UAE Team Emirates - XRG,3,1,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.1,0.0,0.0,0.0,13.7,4.57
Busatto Francesco,Alpecin - Premier Tech,3,4,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.4,3.0,3.8,13.2,4.4
Pickrell Riley,Modern Adventure Pro Cycling,3,2,0.0,1.0,1.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,4.0,0.0,0.0,0.0,0.0,0.0,12.9,4.3
Meurisse Xandro,Pinarello - Q36.5 Pro Cycling,3,2,1.5,0.0,0.0,1.6,0.0,0.0,1.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.9,1.3,1.7,0.0,0.0,12.4,4.13
Foldager Anders,Team Jayco AlUla,3,2,1.6,0.0,0.0,1.3,0.0,0.0,1.8,0.0,0.0,2.1,2.0,0.0,0.0,0.0,0.2,1.4,1.6,0.0,0.0,12.0,4.0
Zana Filippo,Soudal Quick-Step,3,1,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,3.87
Mezgec Luka,Team Jayco AlUla,3,1,0.0,1.4,0.0,0.0,0.6,1.8,0.0,1.7,0.0,0.8,0.0,2.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,11.6,3.87
Narváez Jhonatan,UAE Team Emirates - XRG,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,6.3,0.0,0.0,11.6,2.32
Leroux Samuel,Team TotalEnergies,2,2,1.5,0.8,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.9,1.1,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,11.5,5.75
Affini Edoardo,Team Visma | Lease a Bike,3,1,1.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.2,1.1,1.7,1.7,0.0,3.1,0.0,0.0,0.0,0.0,0.0,11.3,3.77
Pellizzari Giulio,Red Bull - BORA - hansgrohe,5,1,0.0,0.0,0.0,4.4,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,2.26
Leknessund Andreas,Uno-X Mobility,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.1,5.3,0.0,0.0,10.3,2.58
Rasenberg Martijn,Unibet Rose Rockets,2,2,0.7,0.5,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,2.3,3.2,2.3,0.0,0.0,0.0,0.0,0.0,10.2,5.1
Baudin Alex,EF Education - EasyPost,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.4,2.4,3.4,10.1,3.37
Zimmermann Georg,Lotto-Intermarché,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.2,0.0,0.0,9.9,3.3
Alleno Clément,Burgos Burpellet BH ,2,3,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.7,1.8,2.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,9.7,4.85
Ayuso Juan,Lidl - Trek,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.4,9.7,1.39
Fiorelli Filippo,Team Visma | Lease a Bike,3,4,0.0,1.2,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,9.6,3.2
Zingle Axel,Team Visma | Lease a Bike,4,6,1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.7,2.2,0.0,0.0,0.2,0.0,1.8,0.0,0.0,9.6,2.4
Sivakov Pavel,UAE Team Emirates - XRG,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,3.6,9.4,2.35
Flynn Sean,Team Picnic PostNL,2,3,0.8,0.0,0.6,0.0,0.0,0.0,0.6,1.3,1.3,0.8,1.3,1.0,0.0,0.0,0.3,0.0,1.3,0.0,0.0,9.3,4.65
Langellotti Victor,INEOS Grenadiers,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.7,3.3,8.4,2.8
Barguil Warren,Team Picnic PostNL,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,2.77
Syritsa Gleb,XDS Astana Team,3,2,0.0,0.6,0.0,0.0,0.6,0.0,0.9,1.0,1.0,1.3,1.3,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,8.3,2.77
Costiou Ewen,Groupama - FDJ United,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,2.0,2.5,8.1,2.7
Barthe Cyril,Groupama - FDJ United,2,3,0.7,0.6,0.5,0.0,0.5,0.5,0.0,0.8,0.0,0.6,1.1,1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.7,3.85
Raccagni Noviero Andrea,Soudal Quick-Step,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9,2.3,0.0,2.9,7.6,2.53
Gradek Kamil,Bahrain - Victorious,2,3,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.8,1.2,0.9,0.7,1.1,0.0,0.0,0.0,0.0,0.0,7.5,3.75
Uijtdebroeks Cian,Movistar Team,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.1,7.4,1.48
Roglič Primož,Red Bull - BORA - hansgrohe,7,0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1.04
Dehairs Simon,Alpecin - Premier Tech,3,1,0.0,0.0,1.1,0.0,0.0,2.3,0.0,2.4,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.43
Brunel Alexys,Team TotalEnergies,3,3,0.8,1.1,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.6,1.0,1.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,7.1,2.37
Eekhoff Nils,Team Picnic PostNL,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.75
Johansen Julius,UAE Team Emirates - XRG,2,7,0.6,0.5,0.0,0.0,0.5,0.5,0.0,1.1,0.6,0.6,0.6,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,6.8,3.4
Dillier Silvan,Alpecin - Premier Tech,3,3,0.0,1.0,0.4,0.0,0.0,0.0,0.7,0.0,1.2,0.6,0.0,1.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,6.7,2.23
Kopecký Tomáš,Unibet Rose Rockets,2,3,0.6,0.0,2.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.5,1.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0,6.7,3.35
Borgo Alessandro,Bahrain - Victorious,2,3,0.0,0.3,0.3,0.0,0.3,0.0,0.5,0.0,0.0,0.4,1.0,1.3,0.7,1.3,0.0,0.5,0.0,0.0,0.0,6.6,3.3
Kelemen Petr,Tudor Pro Cycling Team,2,3,0.5,0.8,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.4,1.1,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,6.0,3.0
Eulálio Afonso,Bahrain - Victorious,3,2,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.9,1.97
Simmons Quinn,Lidl - Trek,4,2,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,5.9,1.48
